Parlamentare,id,Partito,dataIngresso,465015,465003,465016,465012,465002,465011,465008,465017,465021,465010,465018,465020,465014,465009,465013,465007,465001,465022,465006,465005,465004,465019,466013,466016,466007,466002,466003,466017,466014,466005,466018,466010,466011,466009,466006,466012,466008,466001,466004,466015,467004,467017,467010,467006,467005,467013,467008,467018,467003,467015,467019,467020,467001,467014,467002,467007,467021,467011,467016,467009,467012,473014,473009,473042,473013,473017,473010,473019,473027,473001,473028,473043,473029,473030,473038,473002,473041,473007,473045,473036,473031,473011,473023,473024,473008,473033,473012,473016,473044,473020,473005,473021,473039,473003,473035,473025,473026,473022,473032,473034,473015,473037,473006,473004,473018,473040,474013,474047,474018,474048,474004,474037,474023,474005,474040,474031,474044,474036,474012,474032,474038,474014,474006,474010,474009,474049,474007,474035,474029,474042,474016,474021,474019,474025,474039,474034,474001,474011,474024,474008,474030,474020,474003,474017,474033,474041,474026,474045,474028,474027,474043,474022,474002,474015,474046,477020,477046,477058,477048,477034,477031,477057,477072,477063,477040,477013,477074,477001,477018,477015,477052,477038,477067,477009,477053,477004,477056,477035,477014,477007,477027,477073,477008,477037,477068,477060,477044,477062,477028,477016,477005,477021,477022,477036,477030,477011,477033,477075,477032,477039,477003,477054,477029,477070,477061,477006,477064,477051,477019,477017,477059,477024,477045,477041,477055,477049,477023,477010,477043,477065,477012,477050,477066,477069,477071,477026,477047,477002,477025,477042,478025,478004,478062,478051,478024,478001,478035,478060,478065,478027,478041,478057,478058,478050,478008,478015,478022,478043,478007,478031,478019,478055,478037,478028,478040,478049,478033,478059,478021,478047,478064,478056,478048,478042,478053,478013,478030,478026,478005,478061,478012,478054,478003,478032,478029,478045,478020,478046,478017,478052,478014,478006,478010,478034,478066,478036,478044,478002,478011,478018,478039,478009,478016,478038,478023,478063
GIULIODORI PAOLO,307177,MISTO,2018-03-23,Astensione,Astensione,Favorevole,Astensione,Astensione,Astensione,Non ha votato,Favorevole,Astensione,Astensione,Astensione,Astensione,Astensione,Astensione,Astensione,Astensione,Contrario,Astensione,Astensione,Astensione,Astensione,Astensione,Astensione,Astensione,Favorevole,Astensione,Astensione,Astensione,Favorevole,Astensione,Astensione,Astensione,Astensione,Favorevole,Astensione,Astensione,Astensione,Astensione,Astensione,Astensione,Astensione,Favorevole,Astensione,Non ha votato,Favorevole,Non ha votato,Astensione,Favorevole,Astensione,Favorevole,Favorevole,Favorevole,Astensione,Favorevole,Astensione,Favorevole,Favorevole,Favorevole,Favorevole,Astensione,Favorevole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROSSINI ROBERTO,307179,M5S,2018-03-27,,,,,,,,,,,,,,,,,,,,,,,Contrario,Contrario,Contrario,Astensione,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Astensione,Contrario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARISSE MARTINA,307181,CI,2022-06-23,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Non ha votato,Contrario,Contrario,Favorevole,Contrario,Favorevole,Contrario,Favorevole,Favorevole,Favorevole,Contrario,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Favorevole,Contrario,Favorevole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PENTANGELO ANTONIO,307183,FI,2018-03-27,Astensione,Astensione,Astensione,Non ha votato,Astensione,Non ha votato,Astensione,Non ha votato,Astensione,Astensione,Non ha votato,Astensione,Astensione,Astensione,Non ha votato,Astensione,Contrario,Astensione,Astensione,Astensione,Astensione,Non ha votato,Astensione,Astensione,Astensione,Favorevole,Non ha votato,Astensione,Astensione,Astensione,Astensione,Astensione,Astensione,Astensione,Astensione,Astensione,Astensione,Astensione,Astensione,Astensione,Astensione,Favorevole,Astensione,Astensione,Astensione,Astensione,Astensione,Favorevole,Astensione,Favorevole,Non ha votato,Non ha votato,Astensione,Favorevole,Astensione,Astensione,Non ha votato,Favorevole,Favorevole,Astensione,Favorevole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FASCINA MARTA ANTONIA,307185,FI,2018-03-27,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIANI PAOLO,307187,PD,2018-03-27,,,,,,,,,,,,,,,,,,,,,,,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Non ha votato,Contrario,Contrario,Non ha votato,Contrario,Contrario,Contrario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOPO RAFFAELE,307189,PD,2018-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPADAFORA VINCENZO,307190,M5S,2018-03-27,,,,,,,,,,,,,,,,,,,,,,,Non ha votato,Non ha votato,Non ha votato,Contrario,Non ha votato,Non ha votato,Non ha votato,Contrario,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Contrario,Non ha votato,Non ha votato,Contrario,Contrario,Non ha votato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SARLI DORIANA,307191,MISTO,2018-03-23,,,,,,,,,,,,,,,,,,,,,,,Contrario,Contrario,Astensione,Non ha votato,Astensione,Contrario,Favorevole,Non ha votato,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Non ha votato,Astensione,Contrario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE LORENZO RINA,307192,-SI,2018-04-10,Contrario,Contrario,Contrario,Contrario,Contrario,Non ha votato,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Favorevole,Favorevole,Non ha votato,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Favorevole,Non ha votato,Favorevole,Favorevole,Favorevole,Contrario,Favorevole,Contrario,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Non ha votato,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Favorevole,Favorevole,Contrario,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Astensione,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRUNO RAFFAELE,307193,M5S,2018-03-27,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Favorevole,Contrario,Favorevole,Contrario,Favorevole,Favorevole,Favorevole,Contrario,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Favorevole,Contrario,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Favorevole,Contrario,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Favorevole,Favorevole,Contrario,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Favorevole,Favorevole,Contrario,Contrario,Contrario,Favorevole,Favorevole,Contrario,Contrario,Contrario,Favorevole,Ha votato,Contrario,Contrario,Contrario,Contrario,Favorevole,Contrario,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Contrario,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Contrario,Favorevole,Contrario,Favorevole,Contrario,Contrario,Contrario,Favorevole,Contrario,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Contrario,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario
CASO ANDREA,307194,M5S,2018-03-27,Contrario,Contrario,Contrario,Non ha votato,Contrario,Non ha votato,Contrario,Contrario,Contrario,Non ha votato,Contrario,Contrario,Contrario,Non ha votato,Non ha votato,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Contrario,Non ha votato,Contrario,Contrario,Contrario,Non ha votato,Contrario,Non ha votato,Contrario,Non ha votato,Non ha votato,Non ha votato,Contrario,Non ha votato,Contrario,Contrario,Non ha votato,Favorevole,Non ha votato,Contrario,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Non ha votato,Favorevole,Non ha votato,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Non ha votato,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Non ha votato,Favorevole,Favorevole,Non ha votato,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Non ha votato,Non ha votato,Favorevole,Favorevole,Contrario,Contrario,Contrario,Contrario,Non ha votato,Contrario,Contrario,Non ha votato,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Non ha votato,Contrario,Contrario,Contrario,Contrario,Contrario,Non ha votato,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Non ha votato,Contrario,Contrario,Contrario,Favorevole,Favorevole,Contrario,Contrario,Contrario,Favorevole,Favorevole,Contrario,Non ha votato,Contrario,Favorevole,Ha votato,Contrario,Contrario,Non ha votato,Contrario,Favorevole,Contrario,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Non ha votato,Contrario,Contrario,Contrario,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,Non ha votato,Contrario,Contrario,Contrario,Favorevole,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Contrario,Favorevole,Non ha votato,Favorevole,Contrario,Contrario,Contrario,Non ha votato,Contrario,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Contrario,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato
DI SARNO GIANFRANCO,307195,IPF-IC,2022-06-21,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Non ha votato,Contrario,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Contrario,Non ha votato,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Non ha votato,Non ha votato,Favorevole,Non ha votato,Non ha votato,Non ha votato,Favorevole,Non ha votato,Favorevole,Non ha votato,Favorevole,Favorevole,Favorevole,Contrario,Non ha votato,Non ha votato,Non ha votato,Favorevole,Favorevole,Favorevole,Non ha votato,Favorevole,Non ha votato,Favorevole,Non ha votato,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Favorevole,Non ha votato,Favorevole,Favorevole,Favorevole,Contrario,Non ha votato,Contrario,Favorevole,Non ha votato,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Favorevole,Favorevole,Contrario,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Non ha votato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VITIELLO CATELLO,307196,MISTO,2018-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIORDANO CONCETTA,307198,M5S,2018-03-27,Contrario,Contrario,Non ha votato,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Non ha votato,Non ha votato,Contrario,Contrario,Non ha votato,Contrario,Contrario,Contrario,Contrario,Non ha votato,Contrario,Contrario,Non ha votato,Non ha votato,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Favorevole,Contrario,Favorevole,Contrario,Non ha votato,Favorevole,Favorevole,Non ha votato,Non ha votato,Contrario,Contrario,Favorevole,Favorevole,Non ha votato,Contrario,Favorevole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DI STASIO IOLANDA,307200,IPF-IC,2022-06-21,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Non ha votato,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Favorevole,Contrario,Favorevole,Contrario,Favorevole,Favorevole,Favorevole,Contrario,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Favorevole,Contrario,Favorevole,Favorevole,Favorevole,Non ha votato,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Non ha votato,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Favorevole,Contrario,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Non ha votato,Favorevole,Favorevole,Contrario,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Non ha votato,Contrario,Favorevole,Favorevole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPORTIELLO GILDA,307202,M5S,2018-03-27,,,,,,,,,,,,,,,,,,,,,,,Contrario,Contrario,Contrario,Non ha votato,Non ha votato,Non ha votato,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRATE FLORA,307204,MISTO,2018-03-23,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
